code,name,lat,lon
abli,Abraham Lincoln Birthplace,37.5858662,-85.67330523
acad,Acadia,44.409286,-68.247501
adam,Adams,42.2553961,-71.01160356
afam,African American Civil War Memorial,38.9166,-77.026
afbg,African Burial Ground,40.71452681,-74.00447358
agfo,Agate Fossil Beds,42.42170419,-103.753886
alka,Ala Kahakai,19.144668109,-155.890734294
alag,Alagnak,59.05180188,-156.112002
anch,Alaska Public Lands,61.2188,-149.894536
alca,Alcatraz Island,37.82676234,-122.4230206
aleu,Aleutian Islands World War II,53.9143,-166.5197
alfl,Alibates Flint Quarries,35.5819662,-101.6717008
alpo,Allegheny Portage Railroad,40.42977467,-78.57431622
amch,Amache,38.04962,-102.32903
amme,American Memorial,15.21680033,145.7231096
amis,Amistad,29.53539777,-101.075821
anac,Anacostia,38.8782,-76.9703
ande,Andersonville,32.19831758,-84.12988898
anjo,Andrew Johnson,36.15624509,-82.83709021
ania,Aniakchak,56.85317675,-157.5544362
anti,Antietam,39.46763452,-77.73828017
apis,Apostle Islands,46.96240467,-90.66045665
appa,Appalachian,40.41029575,-76.4337548
apco,Appomattox Court House,37.38022164,-78.79856982
arch,Arches,38.72261844,-109.5863666
arpo,Arkansas Post,34.00389998,-91.30837178
arho,"Arlington House, The Robert E. Lee Memorial",38.8822021484,-77.0734786987
asis,Assateague Island,38.05593172,-75.24524611
azru,Aztec Ruins,36.83682216,-107.9999245
badl,Badlands,43.68584846,-102.482942
bawa,Baltimore-Washington,39.02604289,-76.85410921
band,Bandelier,35.77898596,-106.3317124
bepa,Belmont-Paul Women's Equality,38.89231541,-77.00381882
beol,Bent's Old Fort,38.03977546,-103.4266499
bela,Bering Land Bridge,65.96087902,-164.4086432
bibe,Big Bend,29.29817767,-103.2297897
bicy,Big Cypress,25.97079602,-81.08120629
biho,Big Hole,45.64647324,-113.6458443
biso,Big South Fork,36.5348388,-84.66506688
bith,Big Thicket,30.457983431,-94.386742115
bica,Bighorn Canyon,45.13154227,-108.1443943
bicr,Birmingham Civil Rights,33.5154266357,-86.814666748
bisc,Biscayne,25.490587,-80.21023851
blca,Black Canyon Of The Gunnison,38.57779869,-107.7242756
blrv,Blackstone River Valley,41.8775792792,-71.382433945
blri,Blue Ridge,35.5657195274,-82.486484587
blue,Bluestone,37.56577087,-80.98366657
bowa,Booker T Washington,37.11520539,-79.73185833
boaf,Boston African American,42.35908295,-71.06764181
boha,Boston Harbor Islands,42.30905526,-70.93941138
bost,Boston,42.36957407,-71.05536763
brcr,Brices Cross Roads,34.50611958,-88.72889343
brvb,Brown v. Board of Education,39.03787665,-95.67614437
brca,Bryce Canyon,37.58399144,-112.1826689
buis,Buck Island Reef,17.81026717,-64.6222179
buff,Buffalo,36.04116481,-92.90761584
cabr,Cabrillo,32.6722503,-117.2415985
cali,California,42.3999643979,-108.702415369
cane,Camp Nelson,37.7970179913,-84.598168306
cana,Canaveral,28.78637529,-80.75419576
cari,Cane River Creole,31.65408447,-93.00131977
cach,Canyon de Chelly,36.14319567,-109.3388303
cany,Canyonlands,38.24555783,-109.8801624
caco,Cape Cod,41.92381465,-70.04319832
caha,Cape Hatteras,35.41370839,-75.65061112
came,Cape Henry Memorial,36.9278094,-76.0088219
cakr,Cape Krusenstern,67.41499986,-163.5037786
calo,Cape Lookout,34.8267961,-76.34319082
cahi,Capitol Hill Parks,38.889993,-76.990332
care,Capitol Reef,38.2821653131,-111.247048378
cajo,Captain John Smith Chesapeake,38.971601,-76.483355
cavo,Capulin Volcano,36.78171096,-103.9710427
carl,Carl Sandburg Home,35.26815509,-82.45106258
cave,Carlsbad Caverns,32.14089463,-104.5529688
cawo,Carter G. Woodson Home,38.91089286,-77.02431104
cagr,Casa Grande Ruins,32.99702582,-111.5325383
casa,Castillo de San Marcos,29.89785701,-81.31217173
cacl,Castle Clinton,40.70347795,-74.01680558
camo,Castle Mountains,35.29156348,-115.0935606
cato,Catoctin Mountain,39.65068457,-77.46417665
cebr,Cedar Breaks,37.63545562,-112.845268
cebe,Cedar Creek & Belle Grove,39.0093576,-78.30618934
chcu,Chaco Culture,36.03963414,-107.9560076
cham,Chamizal,31.76729634,-106.4544011
chis,Channel Islands,33.98680093,-119.9112735
chpi,Charles Pinckney,32.84577392,-79.82487582
chyo,Charles Young Buffalo Soldiers,39.70817829,-83.89328575
chat,Chattahoochee River,33.99698333,-84.28953177
choh,Chesapeake & Ohio Canal,39.000283692,-77.2481399539
cbpo,Chesapeake Bay,38.971601,-76.483355
chch,Chickamauga & Chattanooga,34.94317623,-85.28749537
chic,Chickasaw,34.46050507,-97.00715669
chir,Chiricahua,32.01214618,-109.341607
chri,Christiansted,17.73771903,-64.72906227
ciro,City Of Rocks,42.0699024,-113.7124097
cwdw,Civil War Defenses of Washington,38.9644,-77.0292
clba,Clara Barton,38.96762882,-77.14009689
colo,Colonial,37.22824435,-76.61998123
colm,Colorado,39.05045016,-108.6920709
colt,Coltsville,42.4677505493,-73.203666687
cong,Congaree,33.79187523,-80.74867805
coga,Constitution Gardens,38.8909354,-77.04409306
coro,Coronado,31.34900397,-110.2561574
cowp,Cowpens,35.13160654,-81.80935433
crla,Crater Lake,42.94065854,-122.1338414
crmo,Craters Of The Moon,43.20345611,-113.4791609
cuga,Cumberland Gap,36.62503076,-83.6114083
cuis,Cumberland Island,30.85857484,-81.45253575
cure,Curecanti,38.46584558,-107.3303371
cuva,Cuyahoga Valley,41.26093905,-81.57116722
cech,César E. Chávez,35.22729389,-118.5615781
daav,Dayton Aviation Heritage,39.78944467,-84.10442045
deso,De Soto,27.52272613,-82.64335416
deva,Death Valley,36.48753731,-117.134395
dewa,Delaware Water Gap,41.12793491,-74.94751173
dena,Denali,63.29777484,-151.0526568
depo,Devils Postpile,37.6152564,-119.0873903
deto,Devils Tower,44.59064655,-104.7156341
dino,Dinosaur,40.50739742,-108.9333714
drto,Dry Tortugas,24.628741,-82.87319
ddem,Dwight D. Eisenhower,38.8869476647,-77.018737554
ebla,Ebey's Landing,48.21403036,-122.6877213
edal,Edgar Allan Poe,39.96195482,-75.1500062
efmo,Effigy Mounds,43.08095081,-91.19687517
eise,Eisenhower,39.79577592,-77.26508101
elca,El Camino Real de Tierra Adentro,33.7990672546,-106.866386195
elte,El Camino Real de los Tejas,30.0922964581,-97.3397666725
elma,El Malpais,34.88422799,-107.9950948
elmo,El Morro,35.03895916,-108.3463984
elro,Eleanor Roosevelt,41.76208482,-73.89894026
elis,Ellis Island,40.69946,-74.0401
euon,Eugene O'Neill,37.82604456,-122.0271566
ever,Everglades,25.37294225,-80.88200301
feha,Federal Hall,40.70731192,-74.01025636
fiis,Fire Island,40.69668638,-73.00013462
fila,First Ladies,40.79689857,-81.37579869
frst,First State,39.83076929,-75.56353942
flni,Flight 93,40.06061476,-78.89456905
flfo,Florissant Fossil Beds,38.91260586,-105.2803396
foth,Ford's Theatre,38.89668819,-77.02577944
fobo,Fort Bowie,32.14925942,-109.451132
foda,Fort Davis,30.59930381,-103.8961904
fodo,Fort Donelson,36.49019078,-87.92445695
fodu,Fort Dupont Park,38.87731289,-76.94955824
fofo,Fort Foote,38.76901785,-77.02812387
fofr,Fort Frederica,31.2214699,-81.39452014
fola,Fort Laramie,42.20301694,-104.5459112
fols,Fort Larned,38.18047491,-99.21836664
foma,Fort Matanzas,29.7121489,-81.23567535
fomc,Fort McHenry,39.26395314,-76.58044165
fomr,Fort Monroe,37.01733343,-76.30103195
fone,Fort Necessity,39.81306048,-79.59033344
fopo,Fort Point,37.80837439,-122.473747
fopu,Fort Pulaski,32.0308274,-80.93361681
fora,Fort Raleigh,35.93278602,-75.71496865
fosc,Fort Scott,37.84358849,-94.70429174
fosm,Fort Smith,35.38834746,-94.43129079
fost,Fort Stanwix,43.21053441,-75.45557626
fosu,Fort Sumter and Fort Moultrie,32.75654469,-79.87068744
foun,Fort Union,35.90700629,-105.0145185
fous,Fort Union Trading Post,48.00075828,-104.0375238
fova,Fort Vancouver,45.62234841,-122.6617043
fowa,Fort Washington,38.7117,-77.0302
fobu,Fossil Butte,41.85635223,-110.7624754
